K_cap,group_size,max_offspring,threshold,type,beta,rep,extinct,time_to_extinction
500,1,6,1,TRUE,1,1,1,369
1000,1,6,1,TRUE,1,1,1,432
250,3,6,1,TRUE,1,1,1,337
500,3,6,1,TRUE,1,1,1,376
1000,3,6,1,TRUE,1,1,1,421
250,5,6,1,TRUE,1,1,1,398
500,5,6,1,TRUE,1,1,1,381
1000,5,6,1,TRUE,1,1,1,411
250,10,6,1,TRUE,1,1,1,346
500,10,6,1,TRUE,1,1,1,356
1000,10,6,1,TRUE,1,1,1,408
250,1,10,1,TRUE,1,1,1,422
500,1,10,1,TRUE,1,1,1,420
1000,1,10,1,TRUE,1,1,1,448
250,3,10,1,TRUE,1,1,1,392
500,3,10,1,TRUE,1,1,1,427
1000,3,10,1,TRUE,1,1,1,379
250,5,10,1,TRUE,1,1,1,380
500,5,10,1,TRUE,1,1,1,438
1000,5,10,1,TRUE,1,1,1,440
250,10,10,1,TRUE,1,1,1,380
500,10,10,1,TRUE,1,1,1,405
1000,10,10,1,TRUE,1,1,1,429
250,1,3,0,FALSE,1,1,1,311
500,1,3,0,FALSE,1,1,1,315
1000,1,3,0,FALSE,1,1,1,326
250,3,3,0,FALSE,1,1,1,320
500,3,3,0,FALSE,1,1,1,336
1000,3,3,0,FALSE,1,1,1,395
250,5,3,0,FALSE,1,1,1,334
500,5,3,0,FALSE,1,1,1,387
1000,5,3,0,FALSE,1,1,1,348
250,10,3,0,FALSE,1,1,1,281
500,10,3,0,FALSE,1,1,1,403
1000,10,3,0,FALSE,1,1,1,359
250,1,6,0,FALSE,1,1,1,336
500,1,6,0,FALSE,1,1,1,383
1000,1,6,0,FALSE,1,1,1,441
250,3,6,0,FALSE,1,1,1,353
500,3,6,0,FALSE,1,1,1,412
1000,3,6,0,FALSE,1,1,1,417
250,5,6,0,FALSE,1,1,1,431
500,5,6,0,FALSE,1,1,1,413
1000,5,6,0,FALSE,1,1,1,400
250,10,6,0,FALSE,1,1,1,456
500,10,6,0,FALSE,1,1,1,442
1000,10,6,0,FALSE,1,1,1,458
250,1,10,0,FALSE,1,1,1,360
500,1,10,0,FALSE,1,1,1,413
1000,1,10,0,FALSE,1,1,1,408
250,3,10,0,FALSE,1,1,1,469
500,3,10,0,FALSE,1,1,0,NA
1000,3,10,0,FALSE,1,1,1,497
250,5,10,0,FALSE,1,1,0,NA
500,5,10,0,FALSE,1,1,1,468
1000,5,10,0,FALSE,1,1,0,NA
250,10,10,0,FALSE,1,1,1,443
500,10,10,0,FALSE,1,1,0,NA
1000,10,10,0,FALSE,1,1,0,NA
250,1,3,0.25,FALSE,1,1,1,322
500,1,3,0.25,FALSE,1,1,1,315
1000,1,3,0.25,FALSE,1,1,1,358
250,3,3,0.25,FALSE,1,1,1,274
500,3,3,0.25,FALSE,1,1,1,355
1000,3,3,0.25,FALSE,1,1,1,379
250,5,3,0.25,FALSE,1,1,1,344
500,5,3,0.25,FALSE,1,1,1,360
1000,5,3,0.25,FALSE,1,1,1,370
